DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,30.202,,
1951-12-31,31.391,3.94,
1952-12-31,32.58,3.79,
1953-12-31,33.769,3.65,
1954-12-31,34.958,3.52,
1955-12-31,36.147,3.4,
1956-12-31,37.336,3.29,
1957-12-31,38.525,3.18,
1958-12-31,39.714,3.09,
1959-12-31,38.727,-2.49,
1960-12-31,37.74,-2.55,
1961-12-31,36.754,-2.61,
1962-12-31,35.767,-2.69,
1963-12-31,34.78,-2.76,
1964-12-31,32.726,-5.91,
1965-12-31,30.672,-6.28,
1966-12-31,28.618,-6.7,
1967-12-31,26.564,-7.18,
1968-12-31,24.51,-7.73,
1969-12-31,24.111,-1.63,
1970-12-31,23.711,-1.66,
1971-12-31,23.312,-1.68,
1972-12-31,22.912,-1.72,
1973-12-31,22.513,-1.74,
1974-12-31,22.628,0.51,
1975-12-31,22.743,0.51,
1976-12-31,22.859,0.51,
1977-12-31,22.974,0.5,
1978-12-31,23.089,0.5,
1979-12-31,23.341,1.09,
1980-12-31,23.594,1.08,
1981-12-31,23.846,1.07,
1982-12-31,24.099,1.06,
1983-12-31,24.351,1.05,
1984-12-31,24.207,-0.59,
1985-12-31,24.062,-0.6,
1986-12-31,23.918,-0.6,
1987-12-31,23.773,-0.61,
1988-12-31,23.629,-0.61,
1989-12-31,22.737,-3.78,
1990-12-31,21.845,-3.92,
1991-12-31,20.953,-4.08,
1992-12-31,20.061,-4.26,
1993-12-31,19.169,-4.45,
1994-12-31,18.031,-5.94,
1995-12-31,16.893,-6.31,
1996-12-31,15.755,-6.74,
1997-12-31,14.617,-7.22,
1998-12-31,13.479,-7.79,
1999-12-31,13.473,-0.04,
2000-12-31,13.466,-0.05,
2001-12-31,13.46,-0.04,
2002-12-31,13.453,-0.05,
2003-12-31,13.447,-0.04,
2004-12-31,13.774,2.43,
2005-12-31,14.102,2.38,
2006-12-31,14.429,2.32,
2007-12-31,14.757,2.27,
2008-12-31,15.084,2.22,
2009-12-31,15.093,0.06,
2010-12-31,15.102,0.06,
2011-12-31,15.111,0.06,
2012-12-31,15.12,0.06,
2013-12-31,15.129,0.06,
2014-12-31,14.936,-1.28,
2015-12-31,14.743,-1.29,
2016-12-31,14.549,-1.32,
2017-12-31,14.356,-1.33,
2018-12-31,14.163,-1.34,
2019-12-31,13.794,-2.61,
2020-12-31,13.424,-2.68,
2021-12-31,13.055,-2.75,
2022-12-31,12.685,-2.83,
2023-12-31,12.316,-2.91,
2024-12-31,12.015,-2.44,
2025-12-31,11.714,-2.51,
2026-12-31,11.414,-2.56,
2027-12-31,11.113,-2.64,
2028-12-31,10.812,-2.71,
2029-12-31,10.704,-1,
2030-12-31,10.596,-1.01,
2031-12-31,10.489,-1.01,
2032-12-31,10.381,-1.03,
2033-12-31,10.273,-1.04,
2034-12-31,10.33,0.55,
2035-12-31,10.386,0.54,
2036-12-31,10.443,0.55,
2037-12-31,10.499,0.54,
2038-12-31,10.556,0.54,
2039-12-31,10.639,0.79,
2040-12-31,10.722,0.78,
2041-12-31,10.805,0.77,
2042-12-31,10.888,0.77,
2043-12-31,10.971,0.76,
2044-12-31,10.947,-0.22,
2045-12-31,10.923,-0.22,
2046-12-31,10.899,-0.22,
2047-12-31,10.875,-0.22,
2048-12-31,10.851,-0.22,
2049-12-31,10.733,-1.09,
2050-12-31,10.614,-1.11,
2051-12-31,10.496,-1.11,
2052-12-31,10.377,-1.13,
2053-12-31,10.259,-1.14,
2054-12-31,10.134,-1.22,
2055-12-31,10.008,-1.24,
2056-12-31,9.883,-1.25,
2057-12-31,9.757,-1.27,
2058-12-31,9.632,-1.28,
2059-12-31,9.578,-0.56,
2060-12-31,9.524,-0.56,
2061-12-31,9.47,-0.57,
2062-12-31,9.416,-0.57,
2063-12-31,9.362,-0.57,
2064-12-31,9.389,0.29,
2065-12-31,9.416,0.29,
2066-12-31,9.442,0.28,
2067-12-31,9.469,0.29,
2068-12-31,9.496,0.29,
2069-12-31,9.556,0.63,
2070-12-31,9.616,0.63,
2071-12-31,9.675,0.61,
2072-12-31,9.735,0.62,
2073-12-31,9.795,0.62,
2074-12-31,9.82,0.26,
2075-12-31,9.845,0.25,
2076-12-31,9.871,0.26,
2077-12-31,9.896,0.25,
2078-12-31,9.921,0.25,
2079-12-31,9.887,-0.34,
2080-12-31,9.854,-0.33,
2081-12-31,9.82,-0.35,
2082-12-31,9.787,-0.34,
2083-12-31,9.753,-0.35,
2084-12-31,9.691,-0.64,
2085-12-31,9.629,-0.64,
2086-12-31,9.567,-0.64,
2087-12-31,9.505,-0.65,
2088-12-31,9.443,-0.65,
2089-12-31,9.399,-0.47,
2090-12-31,9.356,-0.46,
2091-12-31,9.312,-0.47,
2092-12-31,9.269,-0.46,
2093-12-31,9.225,-0.47,
2094-12-31,9.219,-0.07,
2095-12-31,9.212,-0.08,
2096-12-31,9.206,-0.07,
2097-12-31,9.199,-0.08,
2098-12-31,9.193,-0.07,
2099-12-31,9.187,-0.07,
2100-12-31,9.18,-0.08,
