DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,36.927,,
1951-12-31,37.886,2.6,
1952-12-31,38.845,2.53,
1953-12-31,39.804,2.47,
1954-12-31,40.763,2.41,
1955-12-31,41.722,2.35,
1956-12-31,42.681,2.3,
1957-12-31,43.64,2.25,
1958-12-31,44.599,2.2,
1959-12-31,44.697,0.22,
1960-12-31,44.796,0.22,
1961-12-31,44.894,0.22,
1962-12-31,44.993,0.22,
1963-12-31,45.091,0.22,
1964-12-31,43.265,-4.05,
1965-12-31,41.439,-4.22,
1966-12-31,39.613,-4.41,
1967-12-31,37.787,-4.61,
1968-12-31,35.961,-4.83,
1969-12-31,34.566,-3.88,
1970-12-31,33.172,-4.03,
1971-12-31,31.777,-4.21,
1972-12-31,30.383,-4.39,
1973-12-31,28.988,-4.59,
1974-12-31,28.438,-1.9,
1975-12-31,27.888,-1.93,
1976-12-31,27.338,-1.97,
1977-12-31,26.788,-2.01,
1978-12-31,26.238,-2.05,
1979-12-31,26.525,1.09,
1980-12-31,26.811,1.08,
1981-12-31,27.098,1.07,
1982-12-31,27.384,1.06,
1983-12-31,27.671,1.05,
1984-12-31,28.08,1.48,
1985-12-31,28.489,1.46,
1986-12-31,28.897,1.43,
1987-12-31,29.306,1.42,
1988-12-31,29.715,1.4,
1989-12-31,28.98,-2.47,
1990-12-31,28.244,-2.54,
1991-12-31,27.509,-2.6,
1992-12-31,26.773,-2.68,
1993-12-31,26.038,-2.75,
1994-12-31,24.684,-5.2,
1995-12-31,23.33,-5.49,
1996-12-31,21.975,-5.81,
1997-12-31,20.621,-6.16,
1998-12-31,19.267,-6.57,
1999-12-31,18.691,-2.99,
2000-12-31,18.115,-3.08,
2001-12-31,17.538,-3.19,
2002-12-31,16.962,-3.28,
2003-12-31,16.386,-3.4,
2004-12-31,16.45,0.39,
2005-12-31,16.514,0.39,
2006-12-31,16.577,0.38,
2007-12-31,16.641,0.39,
2008-12-31,16.705,0.38,
2009-12-31,17.191,2.91,
2010-12-31,17.677,2.83,
2011-12-31,18.162,2.74,
2012-12-31,18.648,2.68,
2013-12-31,19.134,2.61,
2014-12-31,18.724,-2.14,
2015-12-31,18.314,-2.19,
2016-12-31,17.904,-2.24,
2017-12-31,17.494,-2.29,
2018-12-31,17.084,-2.34,
2019-12-31,16.456,-3.68,
2020-12-31,15.828,-3.82,
2021-12-31,15.201,-3.96,
2022-12-31,14.573,-4.13,
2023-12-31,13.945,-4.31,
2024-12-31,13.602,-2.46,
2025-12-31,13.259,-2.52,
2026-12-31,12.917,-2.58,
2027-12-31,12.574,-2.66,
2028-12-31,12.231,-2.73,
2029-12-31,12.189,-0.34,
2030-12-31,12.147,-0.34,
2031-12-31,12.105,-0.35,
2032-12-31,12.063,-0.35,
2033-12-31,12.021,-0.35,
2034-12-31,12.024,0.02,
2035-12-31,12.028,0.03,
2036-12-31,12.031,0.02,
2037-12-31,12.035,0.03,
2038-12-31,12.038,0.02,
2039-12-31,11.938,-0.83,
2040-12-31,11.837,-0.85,
2041-12-31,11.737,-0.84,
2042-12-31,11.636,-0.86,
2043-12-31,11.536,-0.86,
2044-12-31,11.391,-1.26,
2045-12-31,11.245,-1.28,
2046-12-31,11.1,-1.29,
2047-12-31,10.954,-1.32,
2048-12-31,10.809,-1.32,
2049-12-31,10.699,-1.02,
2050-12-31,10.588,-1.04,
2051-12-31,10.478,-1.04,
2052-12-31,10.367,-1.06,
2053-12-31,10.257,-1.06,
2054-12-31,10.2,-0.56,
2055-12-31,10.143,-0.56,
2056-12-31,10.087,-0.55,
2057-12-31,10.03,-0.57,
2058-12-31,9.973,-0.57,
2059-12-31,9.953,-0.2,
2060-12-31,9.933,-0.2,
2061-12-31,9.912,-0.21,
2062-12-31,9.892,-0.2,
2063-12-31,9.872,-0.2,
2064-12-31,9.865,-0.07,
2065-12-31,9.859,-0.06,
2066-12-31,9.852,-0.07,
2067-12-31,9.846,-0.06,
2068-12-31,9.839,-0.07,
2069-12-31,9.825,-0.14,
2070-12-31,9.81,-0.15,
2071-12-31,9.796,-0.14,
2072-12-31,9.781,-0.15,
2073-12-31,9.767,-0.14,
2074-12-31,9.736,-0.32,
2075-12-31,9.705,-0.32,
2076-12-31,9.674,-0.32,
2077-12-31,9.643,-0.32,
2078-12-31,9.612,-0.32,
2079-12-31,9.582,-0.31,
2080-12-31,9.552,-0.31,
2081-12-31,9.522,-0.31,
2082-12-31,9.492,-0.32,
2083-12-31,9.462,-0.32,
2084-12-31,9.443,-0.2,
2085-12-31,9.424,-0.2,
2086-12-31,9.404,-0.21,
2087-12-31,9.385,-0.2,
2088-12-31,9.366,-0.2,
2089-12-31,9.356,-0.11,
2090-12-31,9.346,-0.11,
2091-12-31,9.335,-0.12,
2092-12-31,9.325,-0.11,
2093-12-31,9.315,-0.11,
2094-12-31,9.317,0.02,
2095-12-31,9.319,0.02,
2096-12-31,9.32,0.01,
2097-12-31,9.322,0.02,
2098-12-31,9.324,0.02,
2099-12-31,9.326,0.02,
2100-12-31,9.328,0.02,
