DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,14.667,,
1951-12-31,14.491,-1.2,
1952-12-31,14.316,-1.21,
1953-12-31,14.14,-1.23,
1954-12-31,13.964,-1.24,
1955-12-31,13.789,-1.25,
1956-12-31,13.613,-1.28,
1957-12-31,13.438,-1.29,
1958-12-31,13.262,-1.31,
1959-12-31,13.056,-1.55,
1960-12-31,12.851,-1.57,
1961-12-31,12.645,-1.6,
1962-12-31,12.44,-1.62,
1963-12-31,12.234,-1.66,
1964-12-31,11.843,-3.2,
1965-12-31,11.452,-3.3,
1966-12-31,11.062,-3.41,
1967-12-31,10.671,-3.53,
1968-12-31,10.28,-3.66,
1969-12-31,10.008,-2.65,
1970-12-31,9.736,-2.72,
1971-12-31,9.464,-2.79,
1972-12-31,9.192,-2.87,
1973-12-31,8.92,-2.96,
1974-12-31,8.818,-1.14,
1975-12-31,8.715,-1.17,
1976-12-31,8.613,-1.17,
1977-12-31,8.51,-1.2,
1978-12-31,8.408,-1.2,
1979-12-31,8.408,0,
1980-12-31,8.408,0,
1981-12-31,8.407,-0.01,
1982-12-31,8.407,0,
1983-12-31,8.407,0,
1984-12-31,8.425,0.21,
1985-12-31,8.442,0.2,
1986-12-31,8.46,0.21,
1987-12-31,8.477,0.2,
1988-12-31,8.495,0.21,
1989-12-31,8.553,0.68,
1990-12-31,8.611,0.68,
1991-12-31,8.669,0.67,
1992-12-31,8.727,0.67,
1993-12-31,8.785,0.66,
1994-12-31,8.571,-2.44,
1995-12-31,8.357,-2.5,
1996-12-31,8.142,-2.57,
1997-12-31,7.928,-2.63,
1998-12-31,7.714,-2.7,
1999-12-31,7.627,-1.13,
2000-12-31,7.54,-1.14,
2001-12-31,7.453,-1.15,
2002-12-31,7.366,-1.17,
2003-12-31,7.279,-1.18,
2004-12-31,7.16,-1.63,
2005-12-31,7.04,-1.68,
2006-12-31,6.921,-1.69,
2007-12-31,6.801,-1.73,
2008-12-31,6.682,-1.75,
2009-12-31,6.678,-0.06,
2010-12-31,6.673,-0.07,
2011-12-31,6.669,-0.06,
2012-12-31,6.664,-0.07,
2013-12-31,6.66,-0.06,
2014-12-31,6.678,0.27,
2015-12-31,6.697,0.28,
2016-12-31,6.715,0.27,
2017-12-31,6.734,0.28,
2018-12-31,6.752,0.27,
2019-12-31,6.808,0.83,
2020-12-31,6.865,0.84,
2021-12-31,6.921,0.82,
2022-12-31,6.978,0.82,
2023-12-31,7.034,0.8,
2024-12-31,7.154,1.71,
2025-12-31,7.274,1.68,
2026-12-31,7.394,1.65,
2027-12-31,7.514,1.62,
2028-12-31,7.634,1.6,
2029-12-31,7.824,2.49,
2030-12-31,8.014,2.43,
2031-12-31,8.203,2.36,
2032-12-31,8.393,2.32,
2033-12-31,8.583,2.26,
2034-12-31,8.804,2.57,
2035-12-31,9.025,2.51,
2036-12-31,9.247,2.46,
2037-12-31,9.468,2.39,
2038-12-31,9.689,2.33,
2039-12-31,9.891,2.08,
2040-12-31,10.094,2.05,
2041-12-31,10.296,2,
2042-12-31,10.499,1.97,
2043-12-31,10.701,1.92,
2044-12-31,10.854,1.43,
2045-12-31,11.006,1.4,
2046-12-31,11.159,1.39,
2047-12-31,11.311,1.36,
2048-12-31,11.464,1.35,
2049-12-31,11.572,0.94,
2050-12-31,11.68,0.93,
2051-12-31,11.787,0.92,
2052-12-31,11.895,0.92,
2053-12-31,12.003,0.91,
2054-12-31,12.099,0.8,
2055-12-31,12.194,0.79,
2056-12-31,12.29,0.79,
2057-12-31,12.385,0.77,
2058-12-31,12.481,0.78,
2059-12-31,12.591,0.88,
2060-12-31,12.701,0.87,
2061-12-31,12.812,0.87,
2062-12-31,12.922,0.86,
2063-12-31,13.032,0.85,
2064-12-31,13.151,0.91,
2065-12-31,13.269,0.9,
2066-12-31,13.388,0.9,
2067-12-31,13.506,0.88,
2068-12-31,13.625,0.88,
2069-12-31,13.709,0.62,
2070-12-31,13.794,0.62,
2071-12-31,13.878,0.61,
2072-12-31,13.963,0.61,
2073-12-31,14.047,0.6,
2074-12-31,14.058,0.08,
2075-12-31,14.068,0.07,
2076-12-31,14.079,0.08,
2077-12-31,14.089,0.07,
2078-12-31,14.1,0.08,
2079-12-31,14.042,-0.41,
2080-12-31,13.984,-0.41,
2081-12-31,13.925,-0.42,
2082-12-31,13.867,-0.42,
2083-12-31,13.809,-0.42,
2084-12-31,13.748,-0.44,
2085-12-31,13.687,-0.44,
2086-12-31,13.626,-0.45,
2087-12-31,13.565,-0.45,
2088-12-31,13.504,-0.45,
2089-12-31,13.501,-0.02,
2090-12-31,13.498,-0.02,
2091-12-31,13.496,-0.01,
2092-12-31,13.493,-0.02,
2093-12-31,13.49,-0.02,
2094-12-31,13.549,0.44,
2095-12-31,13.608,0.44,
2096-12-31,13.666,0.43,
2097-12-31,13.725,0.43,
2098-12-31,13.784,0.43,
2099-12-31,13.843,0.43,
2100-12-31,13.902,0.43,
