DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,19.636,,
1951-12-31,19.461,-0.89,
1952-12-31,19.285,-0.9,
1953-12-31,19.109,-0.91,
1954-12-31,18.933,-0.92,
1955-12-31,18.757,-0.93,
1956-12-31,18.582,-0.93,
1957-12-31,18.406,-0.95,
1958-12-31,18.23,-0.96,
1959-12-31,18.241,0.06,
1960-12-31,18.252,0.06,
1961-12-31,18.264,0.07,
1962-12-31,18.275,0.06,
1963-12-31,18.286,0.06,
1964-12-31,18.066,-1.2,
1965-12-31,17.846,-1.22,
1966-12-31,17.626,-1.23,
1967-12-31,17.406,-1.25,
1968-12-31,17.186,-1.26,
1969-12-31,16.964,-1.29,
1970-12-31,16.742,-1.31,
1971-12-31,16.519,-1.33,
1972-12-31,16.297,-1.34,
1973-12-31,16.075,-1.36,
1974-12-31,15.62,-2.83,
1975-12-31,15.165,-2.91,
1976-12-31,14.709,-3.01,
1977-12-31,14.254,-3.09,
1978-12-31,13.799,-3.19,
1979-12-31,13.87,0.51,
1980-12-31,13.94,0.5,
1981-12-31,14.011,0.51,
1982-12-31,14.081,0.5,
1983-12-31,14.152,0.5,
1984-12-31,14.058,-0.66,
1985-12-31,13.964,-0.67,
1986-12-31,13.869,-0.68,
1987-12-31,13.775,-0.68,
1988-12-31,13.681,-0.68,
1989-12-31,13.502,-1.31,
1990-12-31,13.324,-1.32,
1991-12-31,13.145,-1.34,
1992-12-31,12.967,-1.35,
1993-12-31,12.788,-1.38,
1994-12-31,12.769,-0.15,
1995-12-31,12.75,-0.15,
1996-12-31,12.731,-0.15,
1997-12-31,12.712,-0.15,
1998-12-31,12.693,-0.15,
1999-12-31,12.725,0.25,
2000-12-31,12.757,0.25,
2001-12-31,12.788,0.24,
2002-12-31,12.82,0.25,
2003-12-31,12.852,0.25,
2004-12-31,12.846,-0.05,
2005-12-31,12.84,-0.05,
2006-12-31,12.835,-0.04,
2007-12-31,12.829,-0.05,
2008-12-31,12.823,-0.05,
2009-12-31,12.728,-0.74,
2010-12-31,12.633,-0.75,
2011-12-31,12.537,-0.76,
2012-12-31,12.442,-0.76,
2013-12-31,12.347,-0.76,
2014-12-31,12.125,-1.8,
2015-12-31,11.902,-1.84,
2016-12-31,11.68,-1.87,
2017-12-31,11.457,-1.91,
2018-12-31,11.235,-1.94,
2019-12-31,11.171,-0.57,
2020-12-31,11.107,-0.57,
2021-12-31,11.042,-0.59,
2022-12-31,10.978,-0.58,
2023-12-31,10.914,-0.58,
2024-12-31,10.862,-0.48,
2025-12-31,10.809,-0.49,
2026-12-31,10.757,-0.48,
2027-12-31,10.704,-0.49,
2028-12-31,10.652,-0.49,
2029-12-31,10.637,-0.14,
2030-12-31,10.623,-0.13,
2031-12-31,10.608,-0.14,
2032-12-31,10.594,-0.13,
2033-12-31,10.579,-0.14,
2034-12-31,10.583,0.04,
2035-12-31,10.586,0.03,
2036-12-31,10.59,0.04,
2037-12-31,10.593,0.03,
2038-12-31,10.597,0.04,
2039-12-31,10.577,-0.19,
2040-12-31,10.557,-0.19,
2041-12-31,10.538,-0.18,
2042-12-31,10.518,-0.19,
2043-12-31,10.498,-0.19,
2044-12-31,10.451,-0.45,
2045-12-31,10.403,-0.46,
2046-12-31,10.356,-0.45,
2047-12-31,10.308,-0.46,
2048-12-31,10.261,-0.46,
2049-12-31,10.213,-0.47,
2050-12-31,10.164,-0.48,
2051-12-31,10.116,-0.47,
2052-12-31,10.067,-0.48,
2053-12-31,10.019,-0.48,
2054-12-31,9.996,-0.23,
2055-12-31,9.972,-0.24,
2056-12-31,9.949,-0.23,
2057-12-31,9.925,-0.24,
2058-12-31,9.902,-0.23,
2059-12-31,9.898,-0.04,
2060-12-31,9.893,-0.05,
2061-12-31,9.889,-0.04,
2062-12-31,9.884,-0.05,
2063-12-31,9.88,-0.04,
2064-12-31,9.884,0.04,
2065-12-31,9.889,0.05,
2066-12-31,9.893,0.04,
2067-12-31,9.898,0.05,
2068-12-31,9.902,0.04,
2069-12-31,9.897,-0.05,
2070-12-31,9.892,-0.05,
2071-12-31,9.886,-0.06,
2072-12-31,9.881,-0.05,
2073-12-31,9.876,-0.05,
2074-12-31,9.859,-0.17,
2075-12-31,9.842,-0.17,
2076-12-31,9.826,-0.16,
2077-12-31,9.809,-0.17,
2078-12-31,9.792,-0.17,
2079-12-31,9.761,-0.32,
2080-12-31,9.73,-0.32,
2081-12-31,9.698,-0.33,
2082-12-31,9.667,-0.32,
2083-12-31,9.636,-0.32,
2084-12-31,9.61,-0.27,
2085-12-31,9.583,-0.28,
2086-12-31,9.557,-0.27,
2087-12-31,9.53,-0.28,
2088-12-31,9.504,-0.27,
2089-12-31,9.49,-0.15,
2090-12-31,9.477,-0.14,
2091-12-31,9.463,-0.15,
2092-12-31,9.45,-0.14,
2093-12-31,9.436,-0.15,
2094-12-31,9.431,-0.05,
2095-12-31,9.425,-0.06,
2096-12-31,9.42,-0.05,
2097-12-31,9.414,-0.06,
2098-12-31,9.409,-0.05,
2099-12-31,9.404,-0.05,
2100-12-31,9.398,-0.06,
