DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,21.342,,
1951-12-31,21.797,2.13,
1952-12-31,22.251,2.08,
1953-12-31,22.706,2.04,
1954-12-31,23.161,2,
1955-12-31,23.615,1.96,
1956-12-31,24.07,1.93,
1957-12-31,24.524,1.89,
1958-12-31,24.979,1.86,
1959-12-31,24.849,-0.52,
1960-12-31,24.72,-0.52,
1961-12-31,24.59,-0.53,
1962-12-31,24.461,-0.52,
1963-12-31,24.331,-0.53,
1964-12-31,23.706,-2.57,
1965-12-31,23.082,-2.63,
1966-12-31,22.457,-2.71,
1967-12-31,21.833,-2.78,
1968-12-31,21.208,-2.86,
1969-12-31,20.753,-2.15,
1970-12-31,20.298,-2.19,
1971-12-31,19.844,-2.24,
1972-12-31,19.389,-2.29,
1973-12-31,18.934,-2.35,
1974-12-31,18.837,-0.51,
1975-12-31,18.739,-0.52,
1976-12-31,18.642,-0.52,
1977-12-31,18.544,-0.53,
1978-12-31,18.447,-0.52,
1979-12-31,18.505,0.31,
1980-12-31,18.563,0.31,
1981-12-31,18.62,0.31,
1982-12-31,18.678,0.31,
1983-12-31,18.736,0.31,
1984-12-31,18.649,-0.46,
1985-12-31,18.563,-0.46,
1986-12-31,18.476,-0.47,
1987-12-31,18.39,-0.47,
1988-12-31,18.303,-0.47,
1989-12-31,17.814,-2.67,
1990-12-31,17.326,-2.74,
1991-12-31,16.837,-2.82,
1992-12-31,16.349,-2.9,
1993-12-31,15.86,-2.99,
1994-12-31,15.298,-3.54,
1995-12-31,14.736,-3.67,
1996-12-31,14.174,-3.81,
1997-12-31,13.612,-3.97,
1998-12-31,13.05,-4.13,
1999-12-31,12.786,-2.02,
2000-12-31,12.522,-2.06,
2001-12-31,12.259,-2.1,
2002-12-31,11.995,-2.15,
2003-12-31,11.731,-2.2,
2004-12-31,12.029,2.54,
2005-12-31,12.327,2.48,
2006-12-31,12.624,2.41,
2007-12-31,12.922,2.36,
2008-12-31,13.22,2.31,
2009-12-31,13.415,1.48,
2010-12-31,13.61,1.45,
2011-12-31,13.805,1.43,
2012-12-31,14,1.41,
2013-12-31,14.195,1.39,
2014-12-31,14.075,-0.85,
2015-12-31,13.955,-0.85,
2016-12-31,13.836,-0.85,
2017-12-31,13.716,-0.87,
2018-12-31,13.596,-0.87,
2019-12-31,13.315,-2.07,
2020-12-31,13.034,-2.11,
2021-12-31,12.753,-2.16,
2022-12-31,12.472,-2.2,
2023-12-31,12.191,-2.25,
2024-12-31,12.02,-1.4,
2025-12-31,11.849,-1.42,
2026-12-31,11.677,-1.45,
2027-12-31,11.506,-1.46,
2028-12-31,11.335,-1.49,
2029-12-31,11.315,-0.18,
2030-12-31,11.295,-0.18,
2031-12-31,11.276,-0.17,
2032-12-31,11.256,-0.18,
2033-12-31,11.236,-0.18,
2034-12-31,11.298,0.55,
2035-12-31,11.36,0.55,
2036-12-31,11.421,0.54,
2037-12-31,11.483,0.54,
2038-12-31,11.545,0.54,
2039-12-31,11.591,0.4,
2040-12-31,11.637,0.4,
2041-12-31,11.683,0.4,
2042-12-31,11.729,0.39,
2043-12-31,11.775,0.39,
2044-12-31,11.738,-0.31,
2045-12-31,11.7,-0.32,
2046-12-31,11.663,-0.32,
2047-12-31,11.625,-0.33,
2048-12-31,11.588,-0.32,
2049-12-31,11.489,-0.85,
2050-12-31,11.389,-0.87,
2051-12-31,11.29,-0.87,
2052-12-31,11.19,-0.89,
2053-12-31,11.091,-0.88,
2054-12-31,10.997,-0.85,
2055-12-31,10.902,-0.86,
2056-12-31,10.808,-0.86,
2057-12-31,10.713,-0.88,
2058-12-31,10.619,-0.88,
2059-12-31,10.573,-0.43,
2060-12-31,10.527,-0.44,
2061-12-31,10.481,-0.44,
2062-12-31,10.435,-0.44,
2063-12-31,10.389,-0.44,
2064-12-31,10.39,0.01,
2065-12-31,10.391,0.01,
2066-12-31,10.393,0.02,
2067-12-31,10.394,0.01,
2068-12-31,10.395,0.01,
2069-12-31,10.401,0.06,
2070-12-31,10.408,0.07,
2071-12-31,10.414,0.06,
2072-12-31,10.421,0.07,
2073-12-31,10.427,0.06,
2074-12-31,10.407,-0.19,
2075-12-31,10.387,-0.19,
2076-12-31,10.367,-0.19,
2077-12-31,10.347,-0.19,
2078-12-31,10.327,-0.19,
2079-12-31,10.27,-0.55,
2080-12-31,10.212,-0.56,
2081-12-31,10.155,-0.56,
2082-12-31,10.097,-0.57,
2083-12-31,10.04,-0.56,
2084-12-31,9.969,-0.71,
2085-12-31,9.898,-0.71,
2086-12-31,9.827,-0.72,
2087-12-31,9.756,-0.72,
2088-12-31,9.685,-0.73,
2089-12-31,9.628,-0.59,
2090-12-31,9.572,-0.58,
2091-12-31,9.515,-0.6,
2092-12-31,9.459,-0.59,
2093-12-31,9.402,-0.6,
2094-12-31,9.377,-0.27,
2095-12-31,9.352,-0.27,
2096-12-31,9.327,-0.27,
2097-12-31,9.302,-0.27,
2098-12-31,9.277,-0.27,
2099-12-31,9.252,-0.27,
2100-12-31,9.227,-0.27,
