DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,15.13,,
1951-12-31,15.314,1.22,
1952-12-31,15.497,1.19,
1953-12-31,15.681,1.19,
1954-12-31,15.865,1.17,
1955-12-31,16.048,1.15,
1956-12-31,16.232,1.15,
1957-12-31,16.415,1.13,
1958-12-31,16.599,1.12,
1959-12-31,16.813,1.29,
1960-12-31,17.028,1.28,
1961-12-31,17.242,1.26,
1962-12-31,17.457,1.25,
1963-12-31,17.671,1.23,
1964-12-31,17.333,-1.91,
1965-12-31,16.995,-1.95,
1966-12-31,16.658,-1.98,
1967-12-31,16.32,-2.03,
1968-12-31,15.982,-2.07,
1969-12-31,15.051,-5.83,
1970-12-31,14.12,-6.19,
1971-12-31,13.188,-6.6,
1972-12-31,12.257,-7.06,
1973-12-31,11.326,-7.6,
1974-12-31,11.123,-1.79,
1975-12-31,10.92,-1.83,
1976-12-31,10.716,-1.87,
1977-12-31,10.513,-1.89,
1978-12-31,10.31,-1.93,
1979-12-31,10.384,0.72,
1980-12-31,10.458,0.71,
1981-12-31,10.532,0.71,
1982-12-31,10.606,0.7,
1983-12-31,10.68,0.7,
1984-12-31,10.735,0.51,
1985-12-31,10.79,0.51,
1986-12-31,10.846,0.52,
1987-12-31,10.901,0.51,
1988-12-31,10.956,0.5,
1989-12-31,10.743,-1.94,
1990-12-31,10.53,-1.98,
1991-12-31,10.316,-2.03,
1992-12-31,10.103,-2.06,
1993-12-31,9.89,-2.11,
1994-12-31,9.825,-0.66,
1995-12-31,9.761,-0.65,
1996-12-31,9.696,-0.67,
1997-12-31,9.632,-0.66,
1998-12-31,9.567,-0.67,
1999-12-31,9.412,-1.62,
2000-12-31,9.256,-1.66,
2001-12-31,9.101,-1.67,
2002-12-31,8.945,-1.71,
2003-12-31,8.79,-1.73,
2004-12-31,8.703,-0.99,
2005-12-31,8.616,-1,
2006-12-31,8.53,-1,
2007-12-31,8.443,-1.02,
2008-12-31,8.356,-1.03,
2009-12-31,8.389,0.39,
2010-12-31,8.422,0.39,
2011-12-31,8.456,0.4,
2012-12-31,8.489,0.39,
2013-12-31,8.522,0.39,
2014-12-31,8.7,2.09,
2015-12-31,8.878,2.05,
2016-12-31,9.057,2.02,
2017-12-31,9.235,1.97,
2018-12-31,9.413,1.93,
2019-12-31,9.405,-0.08,
2020-12-31,9.397,-0.09,
2021-12-31,9.389,-0.09,
2022-12-31,9.381,-0.09,
2023-12-31,9.373,-0.09,
2024-12-31,9.322,-0.54,
2025-12-31,9.271,-0.55,
2026-12-31,9.219,-0.56,
2027-12-31,9.168,-0.55,
2028-12-31,9.117,-0.56,
2029-12-31,9.067,-0.55,
2030-12-31,9.017,-0.55,
2031-12-31,8.966,-0.57,
2032-12-31,8.916,-0.56,
2033-12-31,8.866,-0.56,
2034-12-31,8.833,-0.37,
2035-12-31,8.8,-0.37,
2036-12-31,8.768,-0.36,
2037-12-31,8.735,-0.38,
2038-12-31,8.702,-0.38,
2039-12-31,8.701,-0.01,
2040-12-31,8.7,-0.01,
2041-12-31,8.698,-0.02,
2042-12-31,8.697,-0.01,
2043-12-31,8.696,-0.01,
2044-12-31,8.738,0.48,
2045-12-31,8.781,0.49,
2046-12-31,8.823,0.48,
2047-12-31,8.866,0.49,
2048-12-31,8.908,0.47,
2049-12-31,8.964,0.63,
2050-12-31,9.02,0.62,
2051-12-31,9.077,0.63,
2052-12-31,9.133,0.62,
2053-12-31,9.189,0.61,
2054-12-31,9.208,0.21,
2055-12-31,9.227,0.21,
2056-12-31,9.247,0.22,
2057-12-31,9.266,0.21,
2058-12-31,9.285,0.21,
2059-12-31,9.277,-0.09,
2060-12-31,9.269,-0.09,
2061-12-31,9.261,-0.09,
2062-12-31,9.253,-0.09,
2063-12-31,9.245,-0.09,
2064-12-31,9.227,-0.19,
2065-12-31,9.209,-0.2,
2066-12-31,9.192,-0.18,
2067-12-31,9.174,-0.2,
2068-12-31,9.156,-0.2,
2069-12-31,9.148,-0.09,
2070-12-31,9.141,-0.08,
2071-12-31,9.133,-0.09,
2072-12-31,9.126,-0.08,
2073-12-31,9.118,-0.09,
2074-12-31,9.129,0.12,
2075-12-31,9.139,0.11,
2076-12-31,9.15,0.12,
2077-12-31,9.16,0.11,
2078-12-31,9.171,0.12,
2079-12-31,9.195,0.26,
2080-12-31,9.218,0.25,
2081-12-31,9.242,0.26,
2082-12-31,9.265,0.25,
2083-12-31,9.289,0.26,
2084-12-31,9.306,0.18,
2085-12-31,9.323,0.18,
2086-12-31,9.34,0.18,
2087-12-31,9.357,0.18,
2088-12-31,9.374,0.18,
2089-12-31,9.374,0,
2090-12-31,9.374,0,
2091-12-31,9.373,-0.01,
2092-12-31,9.373,0,
2093-12-31,9.373,0,
2094-12-31,9.356,-0.18,
2095-12-31,9.339,-0.18,
2096-12-31,9.322,-0.18,
2097-12-31,9.305,-0.18,
2098-12-31,9.288,-0.18,
2099-12-31,9.271,-0.18,
2100-12-31,9.254,-0.18,
