DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,18.607,,
1951-12-31,18.477,-0.7,
1952-12-31,18.346,-0.71,
1953-12-31,18.215,-0.71,
1954-12-31,18.084,-0.72,
1955-12-31,17.953,-0.72,
1956-12-31,17.823,-0.72,
1957-12-31,17.692,-0.74,
1958-12-31,17.561,-0.74,
1959-12-31,17.766,1.17,
1960-12-31,17.972,1.16,
1961-12-31,18.177,1.14,
1962-12-31,18.383,1.13,
1963-12-31,18.588,1.12,
1964-12-31,18.438,-0.81,
1965-12-31,18.287,-0.82,
1966-12-31,18.137,-0.82,
1967-12-31,17.986,-0.83,
1968-12-31,17.836,-0.83,
1969-12-31,17.51,-1.83,
1970-12-31,17.184,-1.86,
1971-12-31,16.857,-1.9,
1972-12-31,16.531,-1.93,
1973-12-31,16.205,-1.97,
1974-12-31,15.597,-3.75,
1975-12-31,14.989,-3.9,
1976-12-31,14.382,-4.05,
1977-12-31,13.774,-4.23,
1978-12-31,13.166,-4.41,
1979-12-31,12.718,-3.4,
1980-12-31,12.269,-3.53,
1981-12-31,11.821,-3.65,
1982-12-31,11.372,-3.8,
1983-12-31,10.924,-3.94,
1984-12-31,10.741,-1.68,
1985-12-31,10.559,-1.69,
1986-12-31,10.376,-1.73,
1987-12-31,10.194,-1.75,
1988-12-31,10.011,-1.8,
1989-12-31,9.939,-0.72,
1990-12-31,9.867,-0.72,
1991-12-31,9.794,-0.74,
1992-12-31,9.722,-0.74,
1993-12-31,9.65,-0.74,
1994-12-31,9.573,-0.8,
1995-12-31,9.496,-0.8,
1996-12-31,9.418,-0.82,
1997-12-31,9.341,-0.82,
1998-12-31,9.264,-0.82,
1999-12-31,9.317,0.57,
2000-12-31,9.37,0.57,
2001-12-31,9.423,0.57,
2002-12-31,9.476,0.56,
2003-12-31,9.529,0.56,
2004-12-31,9.566,0.39,
2005-12-31,9.603,0.39,
2006-12-31,9.641,0.4,
2007-12-31,9.678,0.38,
2008-12-31,9.715,0.38,
2009-12-31,9.54,-1.8,
2010-12-31,9.365,-1.83,
2011-12-31,9.189,-1.88,
2012-12-31,9.014,-1.9,
2013-12-31,8.839,-1.94,
2014-12-31,8.597,-2.74,
2015-12-31,8.354,-2.83,
2016-12-31,8.112,-2.9,
2017-12-31,7.869,-3,
2018-12-31,7.627,-3.08,
2019-12-31,7.509,-1.55,
2020-12-31,7.391,-1.57,
2021-12-31,7.272,-1.61,
2022-12-31,7.154,-1.62,
2023-12-31,7.036,-1.65,
2024-12-31,7.026,-0.14,
2025-12-31,7.016,-0.14,
2026-12-31,7.006,-0.14,
2027-12-31,6.996,-0.14,
2028-12-31,6.986,-0.14,
2029-12-31,7.025,0.56,
2030-12-31,7.064,0.56,
2031-12-31,7.104,0.57,
2032-12-31,7.143,0.55,
2033-12-31,7.182,0.55,
2034-12-31,7.222,0.56,
2035-12-31,7.262,0.55,
2036-12-31,7.302,0.55,
2037-12-31,7.342,0.55,
2038-12-31,7.382,0.54,
2039-12-31,7.398,0.22,
2040-12-31,7.413,0.2,
2041-12-31,7.429,0.22,
2042-12-31,7.444,0.2,
2043-12-31,7.46,0.21,
2044-12-31,7.434,-0.35,
2045-12-31,7.408,-0.35,
2046-12-31,7.381,-0.36,
2047-12-31,7.355,-0.35,
2048-12-31,7.329,-0.35,
2049-12-31,7.282,-0.64,
2050-12-31,7.236,-0.63,
2051-12-31,7.189,-0.65,
2052-12-31,7.143,-0.64,
2053-12-31,7.096,-0.66,
2054-12-31,7.076,-0.28,
2055-12-31,7.055,-0.3,
2056-12-31,7.035,-0.28,
2057-12-31,7.014,-0.3,
2058-12-31,6.994,-0.29,
2059-12-31,7.018,0.34,
2060-12-31,7.041,0.33,
2061-12-31,7.065,0.34,
2062-12-31,7.088,0.33,
2063-12-31,7.112,0.34,
2064-12-31,7.167,0.77,
2065-12-31,7.223,0.78,
2066-12-31,7.278,0.76,
2067-12-31,7.334,0.77,
2068-12-31,7.389,0.75,
2069-12-31,7.442,0.72,
2070-12-31,7.495,0.71,
2071-12-31,7.547,0.69,
2072-12-31,7.6,0.7,
2073-12-31,7.653,0.7,
2074-12-31,7.679,0.34,
2075-12-31,7.705,0.34,
2076-12-31,7.731,0.34,
2077-12-31,7.757,0.34,
2078-12-31,7.783,0.34,
2079-12-31,7.78,-0.04,
2080-12-31,7.777,-0.04,
2081-12-31,7.774,-0.04,
2082-12-31,7.771,-0.04,
2083-12-31,7.768,-0.04,
2084-12-31,7.753,-0.19,
2085-12-31,7.737,-0.21,
2086-12-31,7.722,-0.19,
2087-12-31,7.706,-0.21,
2088-12-31,7.691,-0.19,
2089-12-31,7.685,-0.08,
2090-12-31,7.68,-0.07,
2091-12-31,7.674,-0.08,
2092-12-31,7.669,-0.07,
2093-12-31,7.663,-0.08,
2094-12-31,7.677,0.18,
2095-12-31,7.691,0.18,
2096-12-31,7.705,0.18,
2097-12-31,7.719,0.18,
2098-12-31,7.733,0.18,
2099-12-31,7.747,0.18,
2100-12-31,7.761,0.18,
