DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
2000-12-31,25,4.2,
2001-12-31,31,4.65,
2002-12-31,58,7.61,
2003-12-31,65,7.18,
2004-12-31,71,6.06,
2005-12-31,94,5.86,
2006-12-31,123,5.85,
2007-12-31,168,5.5,
2008-12-31,260,6.64,
2009-12-31,246,8.44,
2010-12-31,290,9.24,
2011-12-31,325,9.38,
2012-12-31,333,9.13,
2013-12-31,396,10.32,
2014-12-31,409,10.18,
2015-12-31,371,10.12,
2016-12-31,366,9.95,
2017-12-31,419,10.36,
2018-12-31,439,10.01,
2019-12-31,549,11.38,
2020-12-31,552,12.24,
2021-12-31,613,12.34,
