DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,12.569,,
1951-12-31,12.316,-2.01,
1952-12-31,12.063,-2.05,
1953-12-31,11.81,-2.1,
1954-12-31,11.557,-2.14,
1955-12-31,11.304,-2.19,
1956-12-31,11.051,-2.24,
1957-12-31,10.798,-2.29,
1958-12-31,10.545,-2.34,
1959-12-31,10.166,-3.59,
1960-12-31,9.787,-3.73,
1961-12-31,9.409,-3.86,
1962-12-31,9.03,-4.03,
1963-12-31,8.651,-4.2,
1964-12-31,8.27,-4.4,
1965-12-31,7.889,-4.61,
1966-12-31,7.507,-4.84,
1967-12-31,7.126,-5.08,
1968-12-31,6.745,-5.35,
1969-12-31,6.595,-2.22,
1970-12-31,6.444,-2.29,
1971-12-31,6.294,-2.33,
1972-12-31,6.143,-2.4,
1973-12-31,5.993,-2.44,
1974-12-31,6.044,0.85,
1975-12-31,6.095,0.84,
1976-12-31,6.145,0.82,
1977-12-31,6.196,0.83,
1978-12-31,6.247,0.82,
1979-12-31,6.295,0.77,
1980-12-31,6.343,0.76,
1981-12-31,6.391,0.76,
1982-12-31,6.439,0.75,
1983-12-31,6.487,0.75,
1984-12-31,6.776,4.46,
1985-12-31,7.065,4.27,
1986-12-31,7.354,4.09,
1987-12-31,7.643,3.93,
1988-12-31,7.932,3.78,
1989-12-31,8.102,2.14,
1990-12-31,8.271,2.09,
1991-12-31,8.441,2.06,
1992-12-31,8.61,2,
1993-12-31,8.78,1.97,
1994-12-31,8.751,-0.33,
1995-12-31,8.722,-0.33,
1996-12-31,8.694,-0.32,
1997-12-31,8.665,-0.33,
1998-12-31,8.636,-0.33,
1999-12-31,8.644,0.09,
2000-12-31,8.652,0.09,
2001-12-31,8.659,0.08,
2002-12-31,8.667,0.09,
2003-12-31,8.675,0.09,
2004-12-31,8.872,2.27,
2005-12-31,9.07,2.23,
2006-12-31,9.267,2.17,
2007-12-31,9.465,2.14,
2008-12-31,9.662,2.08,
2009-12-31,9.669,0.07,
2010-12-31,9.677,0.08,
2011-12-31,9.684,0.07,
2012-12-31,9.692,0.08,
2013-12-31,9.699,0.07,
2014-12-31,9.74,0.42,
2015-12-31,9.781,0.42,
2016-12-31,9.823,0.43,
2017-12-31,9.864,0.42,
2018-12-31,9.905,0.42,
2019-12-31,9.862,-0.43,
2020-12-31,9.819,-0.44,
2021-12-31,9.775,-0.45,
2022-12-31,9.732,-0.44,
2023-12-31,9.689,-0.44,
2024-12-31,9.716,0.28,
2025-12-31,9.742,0.27,
2026-12-31,9.769,0.28,
2027-12-31,9.795,0.27,
2028-12-31,9.822,0.28,
2029-12-31,9.934,1.14,
2030-12-31,10.046,1.13,
2031-12-31,10.158,1.11,
2032-12-31,10.27,1.1,
2033-12-31,10.382,1.09,
2034-12-31,10.557,1.69,
2035-12-31,10.733,1.67,
2036-12-31,10.908,1.63,
2037-12-31,11.084,1.61,
2038-12-31,11.259,1.58,
2039-12-31,11.418,1.41,
2040-12-31,11.577,1.39,
2041-12-31,11.735,1.36,
2042-12-31,11.894,1.35,
2043-12-31,12.053,1.34,
2044-12-31,12.143,0.75,
2045-12-31,12.233,0.74,
2046-12-31,12.323,0.74,
2047-12-31,12.413,0.73,
2048-12-31,12.503,0.73,
2049-12-31,12.534,0.25,
2050-12-31,12.565,0.25,
2051-12-31,12.595,0.24,
2052-12-31,12.626,0.25,
2053-12-31,12.657,0.25,
2054-12-31,12.698,0.32,
2055-12-31,12.738,0.32,
2056-12-31,12.779,0.32,
2057-12-31,12.819,0.31,
2058-12-31,12.86,0.32,
2059-12-31,12.966,0.82,
2060-12-31,13.071,0.81,
2061-12-31,13.177,0.81,
2062-12-31,13.282,0.8,
2063-12-31,13.388,0.8,
2064-12-31,13.547,1.19,
2065-12-31,13.705,1.17,
2066-12-31,13.864,1.16,
2067-12-31,14.022,1.14,
2068-12-31,14.181,1.13,
2069-12-31,14.32,0.98,
2070-12-31,14.459,0.97,
2071-12-31,14.597,0.95,
2072-12-31,14.736,0.95,
2073-12-31,14.875,0.94,
2074-12-31,14.913,0.26,
2075-12-31,14.951,0.25,
2076-12-31,14.989,0.25,
2077-12-31,15.027,0.25,
2078-12-31,15.065,0.25,
2079-12-31,14.993,-0.48,
2080-12-31,14.922,-0.47,
2081-12-31,14.85,-0.48,
2082-12-31,14.779,-0.48,
2083-12-31,14.707,-0.49,
2084-12-31,14.595,-0.76,
2085-12-31,14.484,-0.76,
2086-12-31,14.372,-0.77,
2087-12-31,14.261,-0.77,
2088-12-31,14.149,-0.79,
2089-12-31,14.105,-0.31,
2090-12-31,14.06,-0.32,
2091-12-31,14.016,-0.31,
2092-12-31,13.971,-0.32,
2093-12-31,13.927,-0.31,
2094-12-31,13.979,0.37,
2095-12-31,14.031,0.37,
2096-12-31,14.084,0.38,
2097-12-31,14.136,0.37,
2098-12-31,14.188,0.37,
2099-12-31,14.24,0.37,
2100-12-31,14.292,0.37,
