DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,15.895,,
1951-12-31,15.565,-2.08,
1952-12-31,15.234,-2.13,
1953-12-31,14.903,-2.17,
1954-12-31,14.572,-2.22,
1955-12-31,14.241,-2.27,
1956-12-31,13.911,-2.32,
1957-12-31,13.58,-2.38,
1958-12-31,13.249,-2.44,
1959-12-31,12.911,-2.55,
1960-12-31,12.573,-2.62,
1961-12-31,12.236,-2.68,
1962-12-31,11.898,-2.76,
1963-12-31,11.56,-2.84,
1964-12-31,11.23,-2.85,
1965-12-31,10.9,-2.94,
1966-12-31,10.57,-3.03,
1967-12-31,10.24,-3.12,
1968-12-31,9.91,-3.22,
1969-12-31,9.764,-1.47,
1970-12-31,9.619,-1.49,
1971-12-31,9.473,-1.52,
1972-12-31,9.328,-1.53,
1973-12-31,9.182,-1.57,
1974-12-31,9.097,-0.93,
1975-12-31,9.012,-0.93,
1976-12-31,8.926,-0.95,
1977-12-31,8.841,-0.95,
1978-12-31,8.756,-0.96,
1979-12-31,8.864,1.23,
1980-12-31,8.971,1.21,
1981-12-31,9.079,1.2,
1982-12-31,9.186,1.18,
1983-12-31,9.294,1.18,
1984-12-31,9.269,-0.27,
1985-12-31,9.243,-0.28,
1986-12-31,9.218,-0.27,
1987-12-31,9.192,-0.28,
1988-12-31,9.167,-0.27,
1989-12-31,9.291,1.35,
1990-12-31,9.415,1.33,
1991-12-31,9.539,1.32,
1992-12-31,9.663,1.3,
1993-12-31,9.787,1.28,
1994-12-31,10.101,3.21,
1995-12-31,10.415,3.11,
1996-12-31,10.729,3.01,
1997-12-31,11.043,2.93,
1998-12-31,11.357,2.84,
1999-12-31,11.466,0.96,
2000-12-31,11.575,0.95,
2001-12-31,11.685,0.95,
2002-12-31,11.794,0.93,
2003-12-31,11.903,0.92,
2004-12-31,12.082,1.5,
2005-12-31,12.261,1.48,
2006-12-31,12.441,1.47,
2007-12-31,12.62,1.44,
2008-12-31,12.799,1.42,
2009-12-31,12.877,0.61,
2010-12-31,12.955,0.61,
2011-12-31,13.034,0.61,
2012-12-31,13.112,0.6,
2013-12-31,13.19,0.59,
2014-12-31,13.122,-0.52,
2015-12-31,13.053,-0.53,
2016-12-31,12.985,-0.52,
2017-12-31,12.916,-0.53,
2018-12-31,12.848,-0.53,
2019-12-31,12.816,-0.25,
2020-12-31,12.785,-0.24,
2021-12-31,12.753,-0.25,
2022-12-31,12.722,-0.24,
2023-12-31,12.69,-0.25,
2024-12-31,12.686,-0.03,
2025-12-31,12.682,-0.03,
2026-12-31,12.678,-0.03,
2027-12-31,12.674,-0.03,
2028-12-31,12.67,-0.03,
2029-12-31,12.714,0.35,
2030-12-31,12.758,0.35,
2031-12-31,12.802,0.34,
2032-12-31,12.846,0.34,
2033-12-31,12.89,0.34,
2034-12-31,12.969,0.61,
2035-12-31,13.048,0.61,
2036-12-31,13.128,0.61,
2037-12-31,13.207,0.6,
2038-12-31,13.286,0.6,
2039-12-31,13.355,0.52,
2040-12-31,13.425,0.52,
2041-12-31,13.494,0.51,
2042-12-31,13.564,0.52,
2043-12-31,13.633,0.51,
2044-12-31,13.657,0.18,
2045-12-31,13.681,0.18,
2046-12-31,13.705,0.18,
2047-12-31,13.729,0.18,
2048-12-31,13.753,0.17,
2049-12-31,13.742,-0.08,
2050-12-31,13.73,-0.09,
2051-12-31,13.719,-0.08,
2052-12-31,13.707,-0.09,
2053-12-31,13.696,-0.08,
2054-12-31,13.682,-0.1,
2055-12-31,13.667,-0.11,
2056-12-31,13.653,-0.1,
2057-12-31,13.638,-0.11,
2058-12-31,13.624,-0.1,
2059-12-31,13.629,0.04,
2060-12-31,13.634,0.04,
2061-12-31,13.639,0.04,
2062-12-31,13.644,0.04,
2063-12-31,13.649,0.04,
2064-12-31,13.667,0.13,
2065-12-31,13.685,0.13,
2066-12-31,13.703,0.13,
2067-12-31,13.721,0.13,
2068-12-31,13.739,0.13,
2069-12-31,13.743,0.03,
2070-12-31,13.748,0.04,
2071-12-31,13.752,0.03,
2072-12-31,13.757,0.04,
2073-12-31,13.761,0.03,
2074-12-31,13.732,-0.21,
2075-12-31,13.702,-0.22,
2076-12-31,13.673,-0.21,
2077-12-31,13.643,-0.22,
2078-12-31,13.614,-0.21,
2079-12-31,13.555,-0.43,
2080-12-31,13.496,-0.44,
2081-12-31,13.438,-0.43,
2082-12-31,13.379,-0.44,
2083-12-31,13.32,-0.44,
2084-12-31,13.272,-0.36,
2085-12-31,13.225,-0.35,
2086-12-31,13.177,-0.36,
2087-12-31,13.13,-0.36,
2088-12-31,13.082,-0.37,
2089-12-31,13.1,0.14,
2090-12-31,13.117,0.13,
2091-12-31,13.135,0.14,
2092-12-31,13.152,0.13,
2093-12-31,13.17,0.14,
2094-12-31,13.271,0.77,
2095-12-31,13.372,0.76,
2096-12-31,13.474,0.76,
2097-12-31,13.575,0.75,
2098-12-31,13.676,0.74,
2099-12-31,13.777,0.74,
2100-12-31,13.878,0.73,
