DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,85.471,,
1951-12-31,84.553,-1.07,
1952-12-31,83.634,-1.09,
1953-12-31,82.715,-1.1,
1954-12-31,81.796,-1.11,
1955-12-31,80.877,-1.12,
1956-12-31,79.959,-1.14,
1957-12-31,79.04,-1.15,
1958-12-31,78.121,-1.16,
1959-12-31,77.066,-1.35,
1960-12-31,76.011,-1.37,
1961-12-31,74.957,-1.39,
1962-12-31,73.902,-1.41,
1963-12-31,72.847,-1.43,
1964-12-31,71.885,-1.32,
1965-12-31,70.924,-1.34,
1966-12-31,69.962,-1.36,
1967-12-31,69.001,-1.37,
1968-12-31,68.039,-1.39,
1969-12-31,67.018,-1.5,
1970-12-31,65.997,-1.52,
1971-12-31,64.977,-1.55,
1972-12-31,63.956,-1.57,
1973-12-31,62.935,-1.6,
1974-12-31,61.942,-1.58,
1975-12-31,60.949,-1.6,
1976-12-31,59.957,-1.63,
1977-12-31,58.964,-1.66,
1978-12-31,57.971,-1.68,
1979-12-31,56.969,-1.73,
1980-12-31,55.967,-1.76,
1981-12-31,54.966,-1.79,
1982-12-31,53.964,-1.82,
1983-12-31,52.962,-1.86,
1984-12-31,51.957,-1.9,
1985-12-31,50.951,-1.94,
1986-12-31,49.946,-1.97,
1987-12-31,48.94,-2.01,
1988-12-31,47.935,-2.05,
1989-12-31,47.168,-1.6,
1990-12-31,46.401,-1.63,
1991-12-31,45.634,-1.65,
1992-12-31,44.867,-1.68,
1993-12-31,44.1,-1.71,
1994-12-31,42.255,-4.18,
1995-12-31,40.41,-4.37,
1996-12-31,38.564,-4.57,
1997-12-31,36.719,-4.78,
1998-12-31,34.874,-5.02,
1999-12-31,33.31,-4.48,
2000-12-31,31.746,-4.7,
2001-12-31,30.182,-4.93,
2002-12-31,28.618,-5.18,
2003-12-31,27.054,-5.47,
2004-12-31,25.841,-4.48,
2005-12-31,24.628,-4.69,
2006-12-31,23.414,-4.93,
2007-12-31,22.201,-5.18,
2008-12-31,20.988,-5.46,
2009-12-31,19.436,-7.39,
2010-12-31,17.884,-7.99,
2011-12-31,16.333,-8.67,
2012-12-31,14.781,-9.5,
2013-12-31,13.229,-10.5,
2014-12-31,12.739,-3.7,
2015-12-31,12.248,-3.85,
2016-12-31,11.758,-4,
2017-12-31,11.267,-4.18,
2018-12-31,10.777,-4.35,
2019-12-31,10.493,-2.64,
2020-12-31,10.209,-2.71,
2021-12-31,9.924,-2.79,
2022-12-31,9.64,-2.86,
2023-12-31,9.356,-2.95,
2024-12-31,9.147,-2.23,
2025-12-31,8.939,-2.27,
2026-12-31,8.73,-2.34,
2027-12-31,8.522,-2.38,
2028-12-31,8.313,-2.45,
2029-12-31,8.145,-2.02,
2030-12-31,7.978,-2.05,
2031-12-31,7.81,-2.11,
2032-12-31,7.643,-2.14,
2033-12-31,7.475,-2.2,
2034-12-31,7.323,-2.03,
2035-12-31,7.172,-2.06,
2036-12-31,7.02,-2.12,
2037-12-31,6.869,-2.15,
2038-12-31,6.717,-2.21,
2039-12-31,6.586,-1.95,
2040-12-31,6.456,-1.97,
2041-12-31,6.325,-2.03,
2042-12-31,6.195,-2.06,
2043-12-31,6.064,-2.11,
2044-12-31,5.965,-1.63,
2045-12-31,5.866,-1.66,
2046-12-31,5.766,-1.7,
2047-12-31,5.667,-1.72,
2048-12-31,5.568,-1.75,
2049-12-31,5.473,-1.71,
2050-12-31,5.377,-1.75,
2051-12-31,5.282,-1.77,
2052-12-31,5.186,-1.82,
2053-12-31,5.091,-1.83,
2054-12-31,5.006,-1.67,
2055-12-31,4.922,-1.68,
2056-12-31,4.837,-1.73,
2057-12-31,4.753,-1.74,
2058-12-31,4.668,-1.79,
2059-12-31,4.606,-1.33,
2060-12-31,4.545,-1.32,
2061-12-31,4.483,-1.36,
2062-12-31,4.422,-1.36,
2063-12-31,4.36,-1.4,
2064-12-31,4.298,-1.42,
2065-12-31,4.237,-1.42,
2066-12-31,4.175,-1.46,
2067-12-31,4.114,-1.46,
2068-12-31,4.052,-1.51,
2069-12-31,3.999,-1.31,
2070-12-31,3.946,-1.33,
2071-12-31,3.894,-1.32,
2072-12-31,3.841,-1.36,
2073-12-31,3.788,-1.38,
2074-12-31,3.751,-0.98,
2075-12-31,3.713,-1.01,
2076-12-31,3.676,-1,
2077-12-31,3.638,-1.03,
2078-12-31,3.601,-1.02,
2079-12-31,3.563,-1.06,
2080-12-31,3.525,-1.07,
2081-12-31,3.487,-1.08,
2082-12-31,3.449,-1.09,
2083-12-31,3.411,-1.1,
2084-12-31,3.378,-0.97,
2085-12-31,3.344,-1.01,
2086-12-31,3.311,-0.99,
2087-12-31,3.277,-1.03,
2088-12-31,3.244,-1.01,
2089-12-31,3.222,-0.68,
2090-12-31,3.201,-0.65,
2091-12-31,3.179,-0.69,
2092-12-31,3.158,-0.66,
